Program	eof, int, void
Declaration_list	epsilon, int, void
Declaration	int, void
Var_declaration	int, void
Var_dec_index	;, [, (
Type_specifier	int, void
Fun_declaration	(
Params	void, int
Param_name	id, epsilon
Param_list	int, void
Param_loop	,, epsilon
Param	int, void
Param_index	epsilon, [
Compound_stmt	{
Statement_list	epsilon, {, continue, break, ;, if, while, return, switch, id, +, -, (, num
Statement	{, continue, break, ;, if, while, return, switch, id, +, -, (, num
Expression_stmt	continue, break, ;, id, +, -, (, num
Selection_stmt	if
Iteration_stmt	while
Return_stmt	return
Return_expression	;, id, +, -, (, num
Switch_stmt	switch
Case_stmts	epsilon, case
Case_stmt	case
Default_stmt	default, epsilon
Expression	id, +, -, (, num
Expression_args	(, [, =, *, epsilon, +, -, <, ==
Expression_relations	=, *, epsilon, +, -, <, ==
Var	id
Expression_index	epsilon, [
Expression_loop	epsilon, <, ==
Relop	<, ==
Additive_expression	+, -, (, id, num
Expression_addops	epsilon, +, -
Addop	+, -
Term	+, -, (, id, num
Expression_times	*, epsilon
Signed_Factor	+, -, (, id, num
Factor	(, id, num
Factor_args	(, [, epsilon
Call	id
Args	epsilon, id, +, -, (, num
Arg_list	id, +, -, (, num
Args_loop	,, epsilon
Simple_Expression	+, -, (, num
Additive_expression_num	+, -, (, num
Term_num	+, -, (, num
Signed_Factor_num	+, -, (, num
Factor_num	(, num
